reaction,reaction_normalized,custom_group,custom_group_label,mapping_basis
Vascular bypass dysfunction,Vascular bypass dysfunction,cardiovascular,Cardiovascular,rule
Splenic artery thrombosis,Splenic artery thrombosis,cardiovascular,Cardiovascular,rule
Vascular catheterisation,Vascular catheterisation,device,Device and procedure-related,rule
Eastern Cooperative Oncology Group performance status,Eastern Cooperative Oncology Group performance status,other,Other / manual review,fallback
Urethral cancer recurrent,Urethral cancer recurrent,neoplasm,Neoplasms,rule
Intestinal angioma,Intestinal angioma,laboratory,Laboratory and investigation,rule
Sedative therapy,Sedative therapy,procedure,Procedures and interventions,rule
Blood testosterone free decreased,Blood testosterone free decreased,laboratory,Laboratory and investigation,rule
Factor XII deficiency,Factor XII deficiency,other,Other / manual review,fallback
SUNCT syndrome,SUNCT syndrome,other,Other / manual review,fallback
Scan adrenal gland normal,Scan adrenal gland normal,laboratory,Laboratory and investigation,rule
Vascular resistance systemic,Vascular resistance systemic,cardiovascular,Cardiovascular,rule
Isoimmune haemolytic disease,Isoimmune haemolytic disease,immune_inflammatory,Immune and inflammatory,rule
Platelet rich plasma therapy,Platelet rich plasma therapy,laboratory,Laboratory and investigation,rule
Inflammatory myofibroblastic tumour,Inflammatory myofibroblastic tumour,neoplasm,Neoplasms,rule
Reticulocyte haemoglobin equivalent,Reticulocyte haemoglobin equivalent,haematology,Blood and lymphatic,rule
Venous perforation,Venous perforation,cardiovascular,Cardiovascular,rule
Floppy eyelid syndrome,Floppy eyelid syndrome,ocular,Eye and vision,rule
Pathologic myopia,Pathologic myopia,other,Other / manual review,fallback
Haematotympanum,Haematotympanum,other,Other / manual review,fallback
Myoglobin urine present,Myoglobin urine present,laboratory,Laboratory and investigation,rule
Viral oesophagitis,Viral oesophagitis,infection,Infections,rule
Reduced bladder capacity,Reduced bladder capacity,renal_urinary,Renal and urinary,rule
Biopsy colon abnormal,Biopsy colon abnormal,laboratory,Laboratory and investigation,rule
Paroxysmal sympathetic hyperactivity,Paroxysmal sympathetic hyperactivity,other,Other / manual review,fallback
Decorticate posture,Decorticate posture,other,Other / manual review,fallback
Catheter site necrosis,Catheter site necrosis,device,Device and procedure-related,rule
Catheter site hypoaesthesia,Catheter site hypoaesthesia,device,Device and procedure-related,rule
Poor weight gain neonatal,Poor weight gain neonatal,pregnancy,Pregnancy and perinatal,rule
Lenticulostriatal vasculopathy,Lenticulostriatal vasculopathy,other,Other / manual review,fallback
Sclerodactylia,Sclerodactylia,other,Other / manual review,fallback
Vaginal cancer stage 0,Vaginal cancer stage 0,neoplasm,Neoplasms,rule
Degenerative aortic valve disease,Degenerative aortic valve disease,cardiovascular,Cardiovascular,rule
Pulmonary microemboli,Pulmonary microemboli,cardiovascular,Cardiovascular,rule
Internal limiting membrane peeling,Internal limiting membrane peeling,other,Other / manual review,fallback
Vaccination site rash,Vaccination site rash,dermatological,Skin and subcutaneous tissue,rule
Catheter site pustule,Catheter site pustule,device,Device and procedure-related,rule
Lung squamous cell carcinoma stage III,Lung squamous cell carcinoma stage III,neoplasm,Neoplasms,rule
Mycobacterium fortuitum infection,Mycobacterium fortuitum infection,infection,Infections,rule
Abdominal hernia repair,Abdominal hernia repair,gastrointestinal,Gastrointestinal,rule
Thymoma malignant recurrent,Thymoma malignant recurrent,other,Other / manual review,fallback
Mueller^s mixed tumour,Mueller's mixed tumour,neoplasm,Neoplasms,rule
Interferon gamma decreased,Interferon gamma decreased,laboratory,Laboratory and investigation,rule
Therapeutic hypothermia,Therapeutic hypothermia,other,Other / manual review,fallback
Kidney anastomosis,Kidney anastomosis,renal_urinary,Renal and urinary,rule
Carotid arterial embolus,Carotid arterial embolus,cardiovascular,Cardiovascular,rule
VIIth nerve injury,VIIth nerve injury,neurological,Nervous system and neurological,rule
Mean cell haemoglobin,Mean cell haemoglobin,haematology,Blood and lymphatic,rule
Precursor B-lymphoblastic lymphoma,Precursor B-lymphoblastic lymphoma,neoplasm,Neoplasms,rule
Fungal tracheitis,Fungal tracheitis,infection,Infections,rule
Gelatinous transformation of the bone marrow,Gelatinous transformation of the bone marrow,musculoskeletal,Musculoskeletal,rule
Intraductal papillary-mucinous carcinoma of pancreas,Intraductal papillary-mucinous carcinoma of pancreas,neoplasm,Neoplasms,rule
Viral myositis,Viral myositis,infection,Infections,rule
Hepatitis D,Hepatitis D,infection,Infections,rule
Lacrimal haemorrhage,Lacrimal haemorrhage,haematology,Blood and lymphatic,rule
Posterior capsule rupture,Posterior capsule rupture,other,Other / manual review,fallback
AIDS related complication,AIDS related complication,other,Other / manual review,fallback
Atrioventricular dissociation,Atrioventricular dissociation,cardiovascular,Cardiovascular,rule
Chemokine increased,Chemokine increased,laboratory,Laboratory and investigation,rule
Antidepressant therapy,Antidepressant therapy,procedure,Procedures and interventions,rule
Gastroenteritis aeromonas,Gastroenteritis aeromonas,gastrointestinal,Gastrointestinal,rule
Acquired corneal dystrophy,Acquired corneal dystrophy,ocular,Eye and vision,rule
Atrial hypertrophy,Atrial hypertrophy,cardiovascular,Cardiovascular,rule
Angiosclerosis,Angiosclerosis,other,Other / manual review,fallback
Flavivirus infection,Flavivirus infection,infection,Infections,rule
Cytomegalovirus urinary tract infection,Cytomegalovirus urinary tract infection,infection,Infections,rule
Migraine prophylaxis,Migraine prophylaxis,neurological,Nervous system and neurological,rule
Epidural fibrosis,Epidural fibrosis,other,Other / manual review,fallback
Aneurysm recanalisation,Aneurysm recanalisation,other,Other / manual review,fallback
Diverticular fistula,Diverticular fistula,other,Other / manual review,fallback
Soft tissue excision,Soft tissue excision,procedure,Procedures and interventions,rule
Liver carcinoma ruptured,Liver carcinoma ruptured,neoplasm,Neoplasms,rule
Mixed dementia,Mixed dementia,neurological,Nervous system and neurological,rule
Encapsulation reaction,Encapsulation reaction,other,Other / manual review,fallback
Metastases to mouth,Metastases to mouth,neoplasm,Neoplasms,rule
Probiotic therapy,Probiotic therapy,procedure,Procedures and interventions,rule
Vascular test,Vascular test,laboratory,Laboratory and investigation,rule
Capillaritis,Capillaritis,other,Other / manual review,fallback
Breast fibroma,Breast fibroma,reproductive,Reproductive and breast,rule
Seminal vesicular disorder,Seminal vesicular disorder,other,Other / manual review,fallback
Post streptococcal glomerulonephritis,Post streptococcal glomerulonephritis,renal_urinary,Renal and urinary,rule
Cardiac valve thickening,Cardiac valve thickening,cardiovascular,Cardiovascular,rule
Intermittent explosive disorder,Intermittent explosive disorder,other,Other / manual review,fallback
Pleural calcification,Pleural calcification,respiratory,Respiratory,rule
Cavernous sinus syndrome,Cavernous sinus syndrome,respiratory,Respiratory,rule
Cerebellar tumour,Cerebellar tumour,neoplasm,Neoplasms,rule
Hypercatabolism,Hypercatabolism,other,Other / manual review,fallback
Coagulation factor decreased,Coagulation factor decreased,laboratory,Laboratory and investigation,rule
Acquired pigmented retinopathy,Acquired pigmented retinopathy,dermatological,Skin and subcutaneous tissue,rule
Orthodontic procedure,Orthodontic procedure,procedure,Procedures and interventions,rule
Infusion site cyst,Infusion site cyst,device,Device and procedure-related,rule
Traumatic pancreatitis,Traumatic pancreatitis,gastrointestinal,Gastrointestinal,rule
